省份:上海 年份:2014 信息:理科（投档分）的最高分：489，最低分：467，平均分：473，重点线：423，均重差：50，录取人数：23；文科（投档分）的最高分：497，最低分：481，平均分：486，重点线：444，均重差：42，录取人数：15
省份:上海 学院:传播与设计学院 专业:新闻传播学类 信息:文理科：文科，2016年最高分：500，最低分：485，平均分：490；2015年最高分：473，最低分：470，平均分：472；2014年最高分：482，最低分：481，平均分：482
省份:上海 学院:法学院 专业:法学 信息:文理科：文科，2016年最高分：494，最低分：484，平均分：489；2015年最高分：471，最低分：469，平均分：470；2014年最高分：484，最低分：482，平均分：483
省份:上海 学院:国际金融学院 专业:工商管理类 信息:文理科：文科，2016年最高分：484，最低分：483，平均分：484；2015年最高分：484，最低分：469，平均分：477；2014年最高分：497，最低分：485，平均分：491
省份:上海 学院:岭南学院 专业:经济学类 信息:文理科：文科，2016年最高分：490，最低分：489，平均分：490；2015年最高分：477，最低分：476，平均分：477；2014年最高分：495，最低分：492，平均分：494
省份:上海 学院:社会学与人类学学院 专业:社会学类 信息:文理科：文科，2016年最高分：492，最低分：483，平均分：488；2015年最高分：473，最低分：471，平均分：472；2014年最高分：491，最低分：485，平均分：488
省份:上海 学院:外国语学院 专业:日语 信息:文理科：文科，2016年最高分：483，最低分：483，平均分：483；2015年最高分：471，最低分：465，平均分：469；2014年最高分：482，最低分：481，平均分：482
省份:上海 学院:外国语学院 专业:英语 信息:文理科：文科，2016年最高分：483，最低分：481，平均分：482；2015年最高分：467，最低分：467，平均分：467；2014年最高分：485，最低分：485，平均分：485
省份:上海 学院:公共卫生学院 专业:预防医学 信息:文理科：理科，2016年最高分：483，最低分：483，平均分：483；2015年最高分：465，最低分：462，平均分：464；2014年最高分：469，最低分：469，平均分：469
省份:上海 学院:光华口腔医学院 专业:口腔医学 信息:文理科：理科，2016年最高分：488，最低分：487，平均分：487；2015年最高分：482，最低分：476，平均分：479；2014年最高分：472，最低分：468，平均分：470
省份:上海 学院:海洋科学学院 专业:海洋科学 信息:文理科：理科，2016年最高分：486，最低分：482，平均分：484；2015年最高分：459，最低分：459，平均分：459；2014年最高分：473，最低分：473，平均分：473
省份:上海 学院:岭南学院 专业:经济学类 信息:文理科：理科，2016年最高分：485，最低分：482，平均分：484；2015年最高分：475，最低分：472，平均分：474；2014年最高分：479，最低分：478，平均分：479
